Movie Name,Ray,Joe,Mily,Amy,March
IF,2,3,2,4,NA
Kung Fu Panda 4,5,4,5,3,2
Despicable Me 4,3,4,4,3,3
Inside Out 2,4,5,5,NA,5
The Garfield Movie,NA,3,2,1,NA
Thelma the Unicorn,NA,NA,3,NA,3
